method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,162,215,1758221277296,1758221277512
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,162,220,1758221277513,1758221277733
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,162,219,1758221277734,1758221277954
getPopulationofCountry,Guatemala,1,1,6340891,OK,0,91,172,228,1758221277954,1758221278183
getPopulationofCountry,Kenya,3,3,7571439,OK,0,90,173,231,1758221278184,1758221278416
getPopulationofCountry,Israel,5,5,8480241,OK,0,91,174,232,1758221278417,1758221278649
getPopulationofCountry,"French Guiana",3,3,189578,OK,0,80,162,216,1758221278650,1758221278866
getPopulationofCountry,"French Guiana",3,3,189578,OK,0,80,162,219,1758221278867,1758221279087
getPopulationofCountry,Guyana,3,3,369776,OK,0,84,166,224,1758221279088,1758221279312
getPopulationofCountry,Senegal,1,1,5996338,OK,0,83,164,218,1758221279313,1758221279532
getPopulationofCountry,Senegal,1,1,5996338,OK,0,80,162,220,1758221279533,1758221279754
getPopulationofCountry,Senegal,1,1,5996338,OK,0,80,163,221,1758221279755,1758221279976
getPopulationofCountry,Benin,2,2,3022187,OK,0,90,172,227,1758221279977,1758221280205
getPopulationofCountry,Mexico,5,5,107338689,OK,0,99,181,239,1758221280206,1758221280445
getPopulationofCountry,Mexico,5,5,107338689,OK,0,80,162,220,1758221280446,1758221280667
getPopulationofCountry,Sweden,2,2,9362428,OK,0,89,170,228,1758221280668,1758221280896
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,161,215,1758221280896,1758221281112
getPopulationofCountry,"United States",4,4,266998322,OK,0,97,178,233,1758221281112,1758221281346
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,88,169,222,1758221281346,1758221281568
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,162,217,1758221281569,1758221281786
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,162,219,1758221281787,1758221282006
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,162,219,1758221282007,1758221282226
getPopulationofCountry,Turkey,4,4,63717971,OK,0,80,162,219,1758221282228,1758221282447
getPopulationofCountry,Switzerland,5,5,7375148,OK,0,91,174,230,1758221282448,1758221282679
getPopulationofCountry,Brazil,2,2,134594036,OK,0,91,173,230,1758221282680,1758221282910
getPopulationofCountry,Ghana,5,5,7287342,OK,0,83,165,218,1758221282911,1758221283129
getPopulationofCountry,Ghana,5,5,7287342,OK,0,80,162,219,1758221283130,1758221283349
getPopulationofCountry,Kuwait,4,4,1698635,OK,0,88,170,223,1758221283350,1758221283573
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,83,165,219,1758221283573,1758221283793
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,80,162,219,1758221283793,1758221284014
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,80,162,219,1758221284014,1758221284234
getPopulationofCountry,Tuvalu,4,4,8249,OK,0,83,165,222,1758221284235,1758221284457
getPopulationofCountry,Japan,5,5,100848918,OK,0,91,174,230,1758221284458,1758221284689
getPopulationofCountry,Japan,5,5,100848918,OK,0,80,162,219,1758221284690,1758221284910
getPopulationofCountry,Guam,1,1,184225,OK,0,81,163,220,1758221284911,1758221285131
getPopulationofCountry,Botswana,2,2,1073335,OK,0,84,166,221,1758221285131,1758221285353
getPopulationofCountry,Guadeloupe,2,2,374575,OK,0,82,163,219,1758221285354,1758221285573
getPopulationofCountry,Oman,4,4,2579609,OK,0,90,172,230,1758221285574,1758221285804
getPopulationofCountry,Oman,4,4,2579609,OK,0,80,162,219,1758221285805,1758221286024
getPopulationofCountry,Oman,4,4,2579609,OK,0,80,161,216,1758221286025,1758221286242
getPopulationofCountry,Oman,4,4,2579609,OK,0,80,161,213,1758221286242,1758221286456
getPopulationofCountry,Togo,1,1,1565638,OK,0,81,161,214,1758221286456,1758221286671
getPopulationofCountry,Turkey,5,5,63717971,OK,0,92,174,227,1758221286672,1758221286900
getPopulationofCountry,Uganda,3,3,3645095,OK,0,86,169,225,1758221286900,1758221287126
getPopulationofCountry,Canada,5,5,31731367,OK,0,91,173,228,1758221287128,1758221287358
getPopulationofCountry,Canada,5,5,31731367,OK,0,80,162,219,1758221287358,1758221287578
getPopulationofCountry,Nepal,2,2,3989252,OK,0,90,172,224,1758221287578,1758221287803
getPopulationofCountry,Slovakia,5,5,3006587,OK,0,90,172,224,1758221287803,1758221288028
