method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,Belarus,2,2,7097388,OK,0,80,162,219,1758222990531,1758222990750
getPopulationofCountry,Belarus,2,2,7097388,OK,0,80,161,218,1758222990751,1758222990970
getPopulationofCountry,Belarus,2,2,7097388,OK,0,80,161,214,1758222990971,1758222991185
getPopulationofCountry,Bhutan,1,1,233433,OK,0,80,160,215,1758222991186,1758222991402
getPopulationofCountry,Turkey,4,4,63717971,OK,0,83,164,218,1758222991403,1758222991621
getPopulationofCountry,Greece,2,2,8833274,OK,0,82,164,220,1758222991622,1758222991842
getPopulationofCountry,Slovakia,3,3,3006587,OK,0,82,164,220,1758222991844,1758222992065
getPopulationofCountry,Slovakia,3,3,3006587,OK,0,80,161,217,1758222992066,1758222992283
getPopulationofCountry,Switzerland,3,3,7375148,OK,0,81,162,218,1758222992285,1758222992504
getPopulationofCountry,Slovakia,2,2,3006587,OK,0,80,161,215,1758222992504,1758222992720
getPopulationofCountry,Slovakia,2,2,3006587,OK,0,80,160,213,1758222992721,1758222992934
getPopulationofCountry,Slovakia,2,2,3006587,OK,0,80,160,213,1758222992935,1758222993149
getPopulationofCountry,Kenya,1,1,7571439,OK,0,82,163,215,1758222993149,1758222993365
getPopulationofCountry,Guatemala,4,4,6340891,OK,0,82,163,220,1758222993366,1758222993586
getPopulationofCountry,Guatemala,4,4,6340891,OK,0,80,161,218,1758222993587,1758222993806
getPopulationofCountry,Gambia,1,1,736951,OK,0,82,163,219,1758222993807,1758222994027
getPopulationofCountry,Romania,4,4,24859223,OK,0,80,162,218,1758222994028,1758222994246
getPopulationofCountry,Serbia,3,3,4803355,OK,0,82,163,219,1758222994247,1758222994467
getPopulationofCountry,Suriname,4,4,316458,OK,0,81,162,219,1758222994468,1758222994688
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,161,216,1758222994688,1758222994905
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,161,217,1758222994906,1758222995124
getPopulationofCountry,Suriname,4,4,316458,OK,0,80,162,217,1758222995124,1758222995343
getPopulationofCountry,Guatemala,1,1,6340891,OK,0,82,163,220,1758222995344,1758222995564
getPopulationofCountry,Kenya,3,3,7571439,OK,0,82,163,218,1758222995565,1758222995783
getPopulationofCountry,Israel,5,5,8480241,OK,0,83,165,221,1758222995784,1758222996006
getPopulationofCountry,"French Guiana",3,3,189578,OK,0,80,161,217,1758222996007,1758222996224
getPopulationofCountry,"French Guiana",3,3,189578,OK,0,80,161,213,1758222996224,1758222996438
getPopulationofCountry,Guyana,3,3,369776,OK,0,80,162,218,1758222996439,1758222996657
getPopulationofCountry,Senegal,1,1,5996338,OK,0,83,164,217,1758222996657,1758222996875
getPopulationofCountry,Senegal,1,1,5996338,OK,0,80,161,218,1758222996877,1758222997095
getPopulationofCountry,Senegal,1,1,5996338,OK,0,80,162,220,1758222997096,1758222997317
getPopulationofCountry,Benin,2,2,3022187,OK,0,82,163,216,1758222997317,1758222997534
getPopulationofCountry,Mexico,5,5,107338689,OK,0,82,162,217,1758222997535,1758222997752
getPopulationofCountry,Mexico,5,5,107338689,OK,0,80,161,213,1758222997752,1758222997966
getPopulationofCountry,Sweden,2,2,9362428,OK,0,82,163,217,1758222997967,1758222998184
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,161,218,1758222998185,1758222998404
getPopulationofCountry,"United States",4,4,266998322,OK,0,91,172,229,1758222998405,1758222998635
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,81,162,217,1758222998636,1758222998853
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,161,216,1758222998854,1758222999070
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,161,217,1758222999071,1758222999288
getPopulationofCountry,Slovenia,4,4,1182883,OK,0,80,160,213,1758222999289,1758222999502
getPopulationofCountry,Turkey,4,4,63717971,OK,0,80,161,215,1758222999502,1758222999718
getPopulationofCountry,Switzerland,5,5,7375148,OK,0,83,164,218,1758222999719,1758222999937
getPopulationofCountry,Brazil,2,2,134594036,OK,0,90,172,228,1758222999938,1758223000166
getPopulationofCountry,Ghana,5,5,7287342,OK,0,81,163,219,1758223000167,1758223000387
getPopulationofCountry,Ghana,5,5,7287342,OK,0,80,161,217,1758223000388,1758223000606
getPopulationofCountry,Kuwait,4,4,1698635,OK,0,81,162,217,1758223000607,1758223000825
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,82,163,215,1758223000825,1758223001041
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,80,161,217,1758223001041,1758223001258
getPopulationofCountry,Cambodia,5,5,3639169,OK,0,80,161,213,1758223001259,1758223001472
getPopulationofCountry,Tuvalu,4,4,8249,OK,0,80,161,215,1758223001473,1758223001689
getPopulationofCountry,Japan,5,5,100848918,OK,0,82,163,216,1758223001689,1758223001905
getPopulationofCountry,Japan,5,5,100848918,OK,0,80,161,217,1758223001906,1758223002123
getPopulationofCountry,Guam,1,1,184225,OK,0,82,163,220,1758223002124,1758223002345
getPopulationofCountry,Botswana,2,2,1073335,OK,0,81,162,218,1758223002345,1758223002563
