# Columns: result|ERROR method args Zone:N ServerZone:Z WaitMs ExecMs TurnMs TotalMs [errorType]
24859223 getPopulationofCountry Romania Zone:4 ServerZone:5 WaitMs:437 ExecMs:3 TurnMs:524 TotalMs:560
6340891 getPopulationofCountry Guatemala Zone:4 ServerZone:5 WaitMs:503 ExecMs:3 TurnMs:589 TotalMs:626
3006587 getPopulationofCountry Slovakia Zone:2 ServerZone:3 WaitMs:613 ExecMs:1 TurnMs:707 TotalMs:745
3006587 getPopulationofCountry Slovakia Zone:2 ServerZone:3 WaitMs:660 ExecMs:3 TurnMs:748 TotalMs:786
6340891 getPopulationofCountry Guatemala Zone:4 ServerZone:5 WaitMs:532 ExecMs:17 TurnMs:631 TotalMs:668
3006587 getPopulationofCountry Slovakia Zone:2 ServerZone:3 WaitMs:688 ExecMs:9 TurnMs:780 TotalMs:819
6340891 getPopulationofCountry Guatemala Zone:1 ServerZone:2 WaitMs:184 ExecMs:15 TurnMs:284 TotalMs:321
8480241 getPopulationofCountry Israel Zone:5 ServerZone:1 WaitMs:0 ExecMs:31 TurnMs:115 TotalMs:241
107338689 getPopulationofCountry Mexico Zone:5 ServerZone:1 WaitMs:1 ExecMs:145 TurnMs:234 TotalMs:366
8833274 getPopulationofCountry Greece Zone:2 ServerZone:3 WaitMs:2 ExecMs:852 TurnMs:946 TotalMs:984
63717971 getPopulationofCountry Turkey Zone:4 ServerZone:5 WaitMs:0 ExecMs:885 TurnMs:970 TotalMs:1010
3006587 getPopulationofCountry Slovakia Zone:3 ServerZone:4 WaitMs:772 ExecMs:4 TurnMs:861 TotalMs:898
3006587 getPopulationofCountry Slovakia Zone:3 ServerZone:4 WaitMs:0 ExecMs:812 TurnMs:896 TotalMs:940
107338689 getPopulationofCountry Mexico Zone:5 ServerZone:1 WaitMs:116 ExecMs:4 TurnMs:216 TotalMs:344
266998322 getPopulationofCountry United States Zone:4 ServerZone:5 WaitMs:0 ExecMs:223 TurnMs:307 TotalMs:366
1182883 getPopulationofCountry Slovenia Zone:4 ServerZone:5 WaitMs:217 ExecMs:5 TurnMs:307 TotalMs:345
1182883 getPopulationofCountry Slovenia Zone:4 ServerZone:5 WaitMs:178 ExecMs:1 TurnMs:263 TotalMs:312
1182883 getPopulationofCountry Slovenia Zone:4 ServerZone:5 WaitMs:165 ExecMs:1 TurnMs:248 TotalMs:287
1182883 getPopulationofCountry Slovenia Zone:4 ServerZone:5 WaitMs:139 ExecMs:1 TurnMs:222 TotalMs:260
63717971 getPopulationofCountry Turkey Zone:4 ServerZone:5 WaitMs:103 ExecMs:2 TurnMs:187 TotalMs:229
134594036 getPopulationofCountry Brazil Zone:2 ServerZone:3 WaitMs:0 ExecMs:17 TurnMs:99 TotalMs:137
7375148 getPopulationofCountry Switzerland Zone:5 ServerZone:1 WaitMs:0 ExecMs:16 TurnMs:98 TotalMs:229
7287342 getPopulationofCountry Ghana Zone:5 ServerZone:1 WaitMs:0 ExecMs:8 TurnMs:91 TotalMs:217
1698635 getPopulationofCountry Kuwait Zone:4 ServerZone:5 WaitMs:0 ExecMs:5 TurnMs:87 TotalMs:124
7287342 getPopulationofCountry Ghana Zone:5 ServerZone:1 WaitMs:0 ExecMs:0 TurnMs:85 TotalMs:212
3639169 getPopulationofCountry Cambodia Zone:5 ServerZone:1 WaitMs:0 ExecMs:3 TurnMs:87 TotalMs:212
3639169 getPopulationofCountry Cambodia Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:86 TotalMs:217
8249 getPopulationofCountry Tuvalu Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:120
3639169 getPopulationofCountry Cambodia Zone:5 ServerZone:1 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:210
184225 getPopulationofCountry Guam Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:85 TotalMs:129
100848918 getPopulationofCountry Japan Zone:5 ServerZone:1 WaitMs:0 ExecMs:12 TurnMs:95 TotalMs:222
1073335 getPopulationofCountry Botswana Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:130
100848918 getPopulationofCountry Japan Zone:5 ServerZone:1 WaitMs:0 ExecMs:6 TurnMs:90 TotalMs:228
374575 getPopulationofCountry Guadeloupe Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:123
2579609 getPopulationofCountry Oman Zone:4 ServerZone:5 WaitMs:0 ExecMs:4 TurnMs:86 TotalMs:124
2579609 getPopulationofCountry Oman Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:123
2579609 getPopulationofCountry Oman Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:120
2579609 getPopulationofCountry Oman Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:83 TotalMs:119
1565638 getPopulationofCountry Togo Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:124
3645095 getPopulationofCountry Uganda Zone:3 ServerZone:5 WaitMs:0 ExecMs:2 TurnMs:87 TotalMs:153
63717971 getPopulationofCountry Turkey Zone:5 ServerZone:1 WaitMs:0 ExecMs:25 TurnMs:110 TotalMs:239
3989252 getPopulationofCountry Nepal Zone:2 ServerZone:3 WaitMs:0 ExecMs:68 TurnMs:156 TotalMs:209
31731367 getPopulationofCountry Canada Zone:5 ServerZone:1 WaitMs:0 ExecMs:50 TurnMs:133 TotalMs:274
31731367 getPopulationofCountry Canada Zone:5 ServerZone:1 WaitMs:12 ExecMs:2 TurnMs:122 TotalMs:252
3006587 getPopulationofCountry Slovakia Zone:5 ServerZone:1 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:224
3006587 getPopulationofCountry Slovakia Zone:5 ServerZone:1 WaitMs:0 ExecMs:2 TurnMs:90 TotalMs:233
16383873 getPopulationofCountry Netherlands Zone:4 ServerZone:5 WaitMs:0 ExecMs:0 TurnMs:130 TotalMs:167
3006587 getPopulationofCountry Slovakia Zone:5 ServerZone:1 WaitMs:1 ExecMs:0 TurnMs:94 TotalMs:245
15411242 getPopulationofCountry Belgium Zone:2 ServerZone:3 WaitMs:1 ExecMs:44 TurnMs:134 TotalMs:210
15411242 getPopulationofCountry Belgium Zone:2 ServerZone:3 WaitMs:43 ExecMs:2 TurnMs:128 TotalMs:174
